# 01: epoch 02: loss 03: mc_size
0 -15.222066879272461 95.0
1000 -26.633071899414062 106.0
2000 -42.88174819946289 121.0
3000 -60.424503326416016 126.0
4000 -76.27200317382812 125.0
5000 -89.30433654785156 129.0
6000 -99.70761108398438 129.0
7000 -107.91334533691406 129.0
8000 -114.10558319091797 129.0
9000 -118.57833862304688 129.0
10000 -121.74461364746094 129.0
11000 -123.98123168945312 129.0
12000 -125.55255126953125 129.0
13000 -126.64374542236328 129.0
14000 -127.39524841308594 129.0
15000 -127.91018676757812 129.0
16000 -128.26185607910156 129.0
17000 -128.50132751464844 129.0
18000 -128.66395568847656 129.0
19000 -128.77413940429688 129.0
20000 -128.84857177734375 129.0
