# 01: epoch 02: loss 03: mc_size
0 -25.905590057373047 223.0
1000 -174.2030792236328 724.0
2000 -518.4837036132812 1029.0
3000 -810.9635620117188 1122.0
4000 -979.876220703125 1148.0
5000 -1068.8043212890625 1156.0
6000 -1113.816162109375 1158.0
7000 -1135.972412109375 1158.0
8000 -1146.8421630859375 1158.0
9000 -1152.0689697265625 1158.0
10000 -1154.7674560546875 1158.0
11000 -1156.2086181640625 1158.0
12000 -1156.996337890625 1158.0
13000 -1157.4329833984375 1158.0
14000 -1157.677734375 1158.0
15000 -1157.81591796875 1158.0
16000 -1157.89453125 1158.0
17000 -1157.9393310546875 1158.0
18000 -1157.9649658203125 1158.0
19000 -1157.979736328125 1158.0
20000 -1157.9884033203125 1158.0
21000 -1157.9932861328125 1158.0
22000 -1157.99609375 1158.0
23000 -1157.9976806640625 1158.0
24000 -1157.99853515625 1158.0
25000 -1157.999267578125 1158.0
26000 -1157.9996337890625 1158.0
27000 -1157.999755859375 1158.0
