# 01: epoch 02: loss 03: mc_size
0 -5.060005187988281 329.0
1000 -41.363182067871094 789.0
2000 -202.34552001953125 927.0
3000 -462.8763427734375 956.0
4000 -672.0947875976562 986.0
5000 -798.8107299804688 992.0
6000 -874.8872680664062 995.0
7000 -922.5068359375 996.0
8000 -954.1396484375 999.0
9000 -973.450927734375 999.0
10000 -984.448974609375 999.0
11000 -990.6573486328125 999.0
12000 -994.1937255859375 999.0
13000 -996.2199096679688 999.0
14000 -997.3861083984375 999.0
15000 -998.0603637695312 999.0
16000 -998.4517211914062 999.0
17000 -998.67919921875 999.0
18000 -998.81201171875 999.0
19000 -998.8898315429688 999.0
20000 -998.935302734375 999.0
21000 -998.9620361328125 999.0
22000 -998.9776611328125 999.0
23000 -998.98681640625 999.0
24000 -998.9923095703125 999.0
25000 -998.9954833984375 999.0
26000 -998.9971923828125 999.0
27000 -998.9984130859375 999.0
28000 -998.9990234375 999.0
29000 -998.99951171875 999.0
