# 01: epoch 02: loss 03: mc_size
0 -5.606949806213379 76.0
1000 -13.553650856018066 83.0
2000 -28.57923126220703 99.0
3000 -47.54423522949219 112.0
4000 -66.18970489501953 117.0
5000 -82.55020904541016 128.0
6000 -95.9756851196289 128.0
7000 -106.4486083984375 132.0
8000 -114.18365478515625 132.0
9000 -119.75875854492188 133.0
10000 -123.78809356689453 133.0
11000 -126.65364074707031 133.0
12000 -128.67333984375 133.0
13000 -130.07777404785156 133.0
14000 -131.03778076171875 133.0
15000 -131.68716430664062 133.0
16000 -132.1238250732422 133.0
17000 -132.4163818359375 133.0
18000 -132.61190795898438 133.0
19000 -132.7423553466797 133.0
20000 -132.8292236328125 133.0
