# 01: epoch 02: loss 03: mc_size
0 -52.65926742553711 500.0
1000 -152.196044921875 659.0
2000 -333.98919677734375 787.0
3000 -509.62005615234375 836.0
4000 -638.250732421875 857.0
5000 -726.0108642578125 877.0
6000 -784.9761962890625 882.0
7000 -823.4393310546875 886.0
8000 -848.2655639648438 887.0
9000 -863.4300537109375 888.0
10000 -872.95751953125 888.0
11000 -878.6658325195312 888.0
12000 -882.1473999023438 888.0
13000 -884.3134155273438 888.0
14000 -885.673583984375 888.0
15000 -886.5313110351562 888.0
16000 -887.0731811523438 888.0
17000 -887.4155883789062 888.0
18000 -887.6318969726562 888.0
19000 -887.7684936523438 888.0
20000 -887.8544921875 888.0
21000 -887.90869140625 888.0
22000 -887.9427490234375 888.0
23000 -887.964111328125 888.0
24000 -887.9775390625 888.0
25000 -887.9859619140625 888.0
26000 -887.9913330078125 888.0
27000 -887.9945068359375 888.0
28000 -887.9966430664062 888.0
29000 -887.9978637695312 888.0
30000 -887.9986572265625 888.0
31000 -887.999267578125 888.0
32000 -887.99951171875 888.0
